  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. cpi
  1|      32     |      2      |     32     |      2      |     4096    |      16      |      128      |  2.31  
  2|      32     |      2      |     32     |      2      |     4096    |      4       |      128      |  2.31  
  3|      32     |      2      |     32     |      2      |     4096    |      8       |      128      |  2.31  
  4|      32     |      2      |     32     |      2      |     2048    |      16      |      128      |  2.33  
  5|      32     |      2      |     32     |      2      |     2048    |      8       |      128      |  2.33  
  6|      32     |      2      |     32     |      2      |     2048    |      4       |      128      |  2.33  
  7|      32     |      2      |     32     |      2      |     1024    |      16      |      128      |  2.35  
  8|      32     |      2      |     32     |      2      |     1024    |      4       |      128      |  2.35  
  9|      32     |      2      |     32     |      2      |     1024    |      8       |      128      |  2.35  
 10|      32     |      2      |     32     |      2      |     512     |      16      |      128      |  2.35  
 11|      32     |      2      |     32     |      2      |     512     |      8       |      128      |  2.35  
 12|      32     |      2      |     32     |      2      |     512     |      4       |      128      |  2.35  
 13|      32     |      2      |     32     |      2      |     256     |      8       |      128      |  2.36  
 14|      32     |      2      |     32     |      2      |     256     |      16      |      128      |  2.36  
 15|      32     |      2      |     32     |      2      |     256     |      4       |      128      |  2.36  
 16|      32     |      2      |     32     |      2      |     4096    |      16      |       64      |  2.85  
 17|      32     |      2      |     32     |      2      |     4096    |      8       |       64      |  2.85  
 18|      32     |      2      |     32     |      2      |     4096    |      4       |       64      |  2.86  
 19|      32     |      2      |     32     |      2      |     2048    |      16      |       64      |  2.88  
 20|      32     |      2      |     32     |      2      |     2048    |      8       |       64      |  2.88  
 21|      32     |      2      |     32     |      2      |     2048    |      4       |       64      |  2.88  
 22|      32     |      2      |     32     |      2      |     1024    |      16      |       64      |  2.90  
 23|      32     |      2      |     32     |      2      |     1024    |      8       |       64      |  2.90  
 24|      32     |      2      |     32     |      2      |     1024    |      4       |       64      |  2.90  
 25|      32     |      2      |     32     |      2      |     512     |      8       |       64      |  2.90  
 26|      32     |      2      |     32     |      2      |     512     |      16      |       64      |  2.90  
 27|      32     |      2      |     32     |      2      |     512     |      4       |       64      |  2.90  
 28|      32     |      2      |     32     |      2      |     256     |      16      |       64      |  2.91  
 29|      32     |      2      |     32     |      2      |     256     |      4       |       64      |  2.91  
 30|      32     |      2      |     32     |      2      |     256     |      8       |       64      |  2.91  
 31|      32     |      2      |     32     |      2      |     4096    |      16      |       32      |  4.28  
 32|      32     |      2      |     32     |      2      |     4096    |      8       |       32      |  4.28  
 33|      32     |      2      |     32     |      2      |     4096    |      4       |       32      |  4.28  
 34|      32     |      2      |     32     |      2      |     2048    |      16      |       32      |  4.31  
 35|      32     |      2      |     32     |      2      |     2048    |      8       |       32      |  4.31  
 36|      32     |      2      |     32     |      2      |     2048    |      4       |       32      |  4.31  
 37|      32     |      2      |     32     |      2      |     1024    |      16      |       32      |  4.32  
 38|      32     |      2      |     32     |      2      |     1024    |      8       |       32      |  4.32  
 39|      32     |      2      |     32     |      2      |     1024    |      4       |       32      |  4.32  
 40|      32     |      2      |     32     |      2      |     512     |      8       |       32      |  4.33  
 41|      32     |      2      |     32     |      2      |     512     |      16      |       32      |  4.33  
 42|      32     |      2      |     32     |      2      |     512     |      4       |       32      |  4.33  
 43|      32     |      2      |     32     |      2      |     256     |      8       |       32      |  4.33  
 44|      32     |      2      |     32     |      2      |     256     |      16      |       32      |  4.34  
 45|      32     |      2      |     32     |      2      |     256     |      4       |       32      |  4.34  
