  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. cpi
  1|      32     |      2      |     32     |      2      |     4096    |      16      |      128      |  2.31  
  2|      32     |      2      |     32     |      2      |     4096    |      4       |      128      |  2.31  
  3|      32     |      2      |     32     |      2      |     4096    |      8       |      128      |  2.31  
  4|      32     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  5|     128     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  6|      64     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  7|      32     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  8|     128     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
  9|     128     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 10|      32     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 11|      64     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 12|      32     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 13|      64     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 14|     128     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 15|     128     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 16|      32     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 17|     128     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 18|      64     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 19|      32     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 20|      64     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 21|      64     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 22|     128     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 23|      64     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 24|      64     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 25|      32     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 26|      64     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 27|     128     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 28|     128     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 29|      32     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 30|      64     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 31|     128     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 32|     128     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 33|      64     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 34|     128     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 35|     128     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 36|      64     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 37|      64     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 38|      32     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 39|      32     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 40|     128     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 41|      64     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 42|      64     |      2      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 43|      64     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 44|      32     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 45|     128     |      1      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 46|      64     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 47|     128     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 48|      32     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 49|     128     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 50|      64     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 51|     128     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 52|      64     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 53|     128     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 54|      32     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 55|     128     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 56|     128     |      1      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 57|      64     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 58|      64     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 59|      64     |      1      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 60|      32     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 61|      32     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 62|     128     |      1      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 63|      32     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 64|     128     |      1      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 65|     128     |      1      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 66|      64     |      1      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 67|      64     |      1      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 68|     128     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 69|     128     |      4      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 70|     128     |      2      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 71|      64     |      4      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 72|      32     |      2      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 73|      64     |      1      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 74|      32     |      4      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 75|      64     |      1      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 76|     128     |      4      |     16     |      4      |     2048    |      8       |      128      |  2.33  
 77|      64     |      2      |     16     |      4      |     2048    |      8       |      128      |  2.33  
 78|      32     |      4      |     16     |      4      |     2048    |      8       |      128      |  2.33  
 79|      64     |      4      |     16     |      4      |     2048    |      8       |      128      |  2.33  
 80|      32     |      2      |     16     |      4      |     2048    |      8       |      128      |  2.33  
