  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. edap
  1|      32     |      2      |     32     |      2      |     256     |      16      |       64      |  0.25  
  2|      32     |      2      |     32     |      2      |     256     |      4       |       64      |  0.25  
  3|      32     |      2      |     32     |      2      |     256     |      8       |       64      |  0.25  
  4|      32     |      2      |     32     |      2      |     512     |      4       |       64      |  0.27  
  5|      32     |      2      |     32     |      2      |     512     |      16      |       64      |  0.27  
  6|      32     |      2      |     32     |      2      |     512     |      8       |       64      |  0.27  
  7|      32     |      2      |     32     |      2      |     1024    |      8       |       64      |  0.34  
  8|      32     |      2      |     32     |      2      |     1024    |      4       |       64      |  0.34  
  9|      32     |      2      |     32     |      2      |     1024    |      16      |       64      |  0.34  
 10|      32     |      2      |     32     |      2      |     256     |      16      |       32      |  0.37  
 11|      32     |      2      |     32     |      2      |     256     |      4       |       32      |  0.37  
 12|      32     |      2      |     32     |      2      |     256     |      8       |       32      |  0.37  
 13|      16     |      1      |     16     |      2      |     2048    |      8       |       64      |  0.41  
 14|      16     |      2      |     16     |      2      |     2048    |      8       |       64      |  0.41  
 15|      32     |      1      |     16     |      2      |     2048    |      8       |       64      |  0.42  
 16|      16     |      1      |     32     |      2      |     2048    |      8       |       64      |  0.42  
 17|      16     |      2      |     32     |      2      |     2048    |      8       |       64      |  0.42  
 18|      32     |      2      |     32     |      2      |     512     |      4       |       32      |  0.42  
 19|      32     |      2      |     16     |      2      |     2048    |      8       |       64      |  0.42  
 20|      32     |      2      |     32     |      2      |     512     |      16      |       32      |  0.42  
 21|      32     |      2      |     32     |      2      |     512     |      8       |       32      |  0.42  
 22|      32     |      1      |     32     |      2      |     2048    |      8       |       64      |  0.42  
 23|      32     |      2      |     32     |      2      |     2048    |      8       |       64      |  0.42  
 24|      32     |      2      |     32     |      2      |     2048    |      16      |       64      |  0.44  
 25|      32     |      2      |     32     |      2      |     2048    |      4       |       64      |  0.44  
 26|      16     |      4      |     16     |      2      |     2048    |      8       |       64      |  0.47  
 27|      16     |      4      |     32     |      2      |     2048    |      8       |       64      |  0.48  
 28|      32     |      4      |     16     |      2      |     2048    |      8       |       64      |  0.48  
 29|      32     |      2      |     32     |      2      |     1024    |      8       |       32      |  0.48  
 30|      32     |      4      |     32     |      2      |     2048    |      8       |       64      |  0.49  
 31|      32     |      2      |     32     |      2      |     1024    |      4       |       32      |  0.52  
 32|      32     |      2      |     32     |      2      |     1024    |      16      |       32      |  0.52  
 33|      16     |      1      |     16     |      4      |     2048    |      8       |       64      |  0.52  
 34|      16     |      2      |     16     |      4      |     2048    |      8       |       64      |  0.52  
 35|      32     |      1      |     16     |      4      |     2048    |      8       |       64      |  0.53  
 36|      64     |      4      |     16     |      2      |     2048    |      8       |       64      |  0.53  
 37|      32     |      2      |     16     |      4      |     2048    |      8       |       64      |  0.53  
 38|      64     |      4      |     32     |      2      |     2048    |      8       |       64      |  0.53  
 39|      16     |      1      |     32     |      4      |     2048    |      8       |       64      |  0.54  
 40|      16     |      2      |     32     |      4      |     2048    |      8       |       64      |  0.54  
 41|      32     |      1      |     32     |      4      |     2048    |      8       |       64      |  0.55  
 42|      32     |      2      |     32     |      4      |     2048    |      8       |       64      |  0.55  
 43|      16     |      4      |     16     |      4      |     2048    |      8       |       64      |  0.59  
 44|      32     |      2      |     32     |      2      |     4096    |      16      |       64      |  0.60  
 45|      32     |      2      |     32     |      2      |     4096    |      4       |       64      |  0.60  
 46|      32     |      4      |     16     |      4      |     2048    |      8       |       64      |  0.60  
 47|      32     |      2      |     32     |      2      |     4096    |      8       |       64      |  0.61  
 48|      16     |      4      |     32     |      4      |     2048    |      8       |       64      |  0.61  
 49|      16     |      1      |     16     |      8      |     2048    |      8       |       64      |  0.62  
 50|      32     |      4      |     32     |      4      |     2048    |      8       |       64      |  0.62  
 51|      16     |      2      |     16     |      8      |     2048    |      8       |       64      |  0.62  
 52|      32     |      1      |     16     |      8      |     2048    |      8       |       64      |  0.63  
 53|      16     |      1      |     64     |      4      |     2048    |      8       |       64      |  0.63  
 54|      16     |      2      |     64     |      4      |     2048    |      8       |       64      |  0.63  
 55|      32     |      2      |     16     |      8      |     2048    |      8       |       64      |  0.63  
 56|      32     |      1      |     64     |      4      |     2048    |      8       |       64      |  0.63  
 57|      32     |      2      |     64     |      4      |     2048    |      8       |       64      |  0.64  
 58|      16     |      1      |     16     |      2      |     2048    |      8       |       32      |  0.64  
 59|      16     |      2      |     16     |      2      |     2048    |      8       |       32      |  0.64  
 60|      16     |      4      |     16     |      2      |     2048    |      8       |       32      |  0.64  
 61|      16     |      1      |     16     |      4      |     2048    |      8       |       32      |  0.64  
 62|      16     |      2      |     16     |      4      |     2048    |      8       |       32      |  0.64  
 63|      16     |      4      |     16     |      4      |     2048    |      8       |       32      |  0.64  
 64|      16     |      1      |     32     |      2      |     2048    |      8       |       32      |  0.65  
 65|      32     |      1      |     16     |      2      |     2048    |      8       |       32      |  0.65  
 66|      32     |      2      |     16     |      2      |     2048    |      8       |       32      |  0.65  
 67|      16     |      2      |     32     |      2      |     2048    |      8       |       32      |  0.65  
 68|      32     |      4      |     16     |      2      |     2048    |      8       |       32      |  0.65  
 69|      16     |      4      |     32     |      2      |     2048    |      8       |       32      |  0.65  
 70|      32     |      1      |     16     |      4      |     2048    |      8       |       32      |  0.65  
 71|      32     |      2      |     16     |      4      |     2048    |      8       |       32      |  0.65  
 72|      16     |      1      |     32     |      4      |     2048    |      8       |       32      |  0.65  
 73|      32     |      4      |     16     |      4      |     2048    |      8       |       32      |  0.65  
 74|      16     |      2      |     32     |      4      |     2048    |      8       |       32      |  0.65  
 75|      16     |      4      |     32     |      4      |     2048    |      8       |       32      |  0.65  
 76|      32     |      2      |     32     |      2      |     2048    |      16      |       32      |  0.65  
 77|      16     |      1      |     32     |      8      |     2048    |      8       |       64      |  0.65  
 78|      64     |      4      |     16     |      4      |     2048    |      8       |       64      |  0.66  
 79|      16     |      2      |     32     |      8      |     2048    |      8       |       64      |  0.66  
 80|      32     |      2      |     32     |      2      |     2048    |      4       |       32      |  0.66  
 81|      32     |      1      |     32     |      2      |     2048    |      8       |       32      |  0.66  
 82|      32     |      2      |     32     |      2      |     2048    |      8       |       32      |  0.66  
 83|      32     |      1      |     32     |      8      |     2048    |      8       |       64      |  0.66  
 84|      32     |      4      |     32     |      2      |     2048    |      8       |       32      |  0.66  
 85|      32     |      1      |     32     |      4      |     2048    |      8       |       32      |  0.66  
 86|      32     |      2      |     32     |      4      |     2048    |      8       |       32      |  0.66  
 87|      32     |      2      |     32     |      8      |     2048    |      8       |       64      |  0.66  
 88|      32     |      4      |     32     |      4      |     2048    |      8       |       32      |  0.66  
 89|      64     |      4      |     32     |      4      |     2048    |      8       |       64      |  0.68  
 90|      16     |      1      |     64     |      8      |     2048    |      8       |       64      |  0.69  
 91|      16     |      2      |     64     |      8      |     2048    |      8       |       64      |  0.69  
 92|      16     |      4      |     16     |      8      |     2048    |      8       |       64      |  0.70  
 93|      32     |      1      |     64     |      8      |     2048    |      8       |       64      |  0.70  
 94|      32     |      2      |     64     |      8      |     2048    |      8       |       64      |  0.70  
 95|      16     |      4      |     64     |      4      |     2048    |      8       |       64      |  0.70  
 96|      32     |      4      |     16     |      8      |     2048    |      8       |       64      |  0.71  
 97|      32     |      4      |     64     |      4      |     2048    |      8       |       64      |  0.71  
 98|      64     |      1      |     16     |      2      |     2048    |      8       |       64      |  0.72  
 99|      64     |      1      |     32     |      2      |     2048    |      8       |       64      |  0.73  
100|      64     |      2      |     16     |      2      |     2048    |      8       |       64      |  0.73  
101|      16     |      4      |     32     |      8      |     2048    |      8       |       64      |  0.73  
102|      64     |      2      |     32     |      2      |     2048    |      8       |       64      |  0.73  
103|      32     |      4      |     32     |      8      |     2048    |      8       |       64      |  0.74  
104|      16     |      1      |     16     |      8      |     2048    |      8       |       32      |  0.75  
105|      16     |      2      |     16     |      8      |     2048    |      8       |       32      |  0.75  
106|      16     |      4      |     16     |      8      |     2048    |      8       |       32      |  0.75  
107|      32     |      1      |     16     |      8      |     2048    |      8       |       32      |  0.75  
108|      32     |      2      |     16     |      8      |     2048    |      8       |       32      |  0.76  
109|      32     |      4      |     16     |      8      |     2048    |      8       |       32      |  0.76  
110|      64     |      4      |     16     |      8      |     2048    |      8       |       64      |  0.76  
111|      16     |      4      |     64     |      8      |     2048    |      8       |       64      |  0.77  
112|      64     |      4      |     64     |      4      |     2048    |      8       |       64      |  0.77  
113|      16     |      1      |     32     |      8      |     2048    |      8       |       32      |  0.78  
114|      16     |      2      |     32     |      8      |     2048    |      8       |       32      |  0.78  
115|      16     |      4      |     32     |      8      |     2048    |      8       |       32      |  0.78  
116|      32     |      4      |     64     |      8      |     2048    |      8       |       64      |  0.78  
117|      32     |      1      |     32     |      8      |     2048    |      8       |       32      |  0.79  
118|      32     |      2      |     32     |      8      |     2048    |      8       |       32      |  0.79  
119|      32     |      4      |     32     |      8      |     2048    |      8       |       32      |  0.79  
120|      64     |      4      |     32     |      8      |     2048    |      8       |       64      |  0.80  
121|      16     |      1      |     64     |      2      |     2048    |      8       |       64      |  0.84  
122|      16     |      2      |     64     |      2      |     2048    |      8       |       64      |  0.84  
123|      64     |      4      |     64     |      8      |     2048    |      8       |       64      |  0.84  
124|      32     |      1      |     64     |      2      |     2048    |      8       |       64      |  0.84  
125|      32     |      2      |     64     |      2      |     2048    |      8       |       64      |  0.85  
126|      16     |      1      |    128     |      8      |     2048    |      8       |       64      |  0.86  
127|      16     |      2      |    128     |      8      |     2048    |      8       |       64      |  0.86  
128|      64     |      1      |     16     |      4      |     2048    |      8       |       64      |  0.86  
129|      32     |      1      |    128     |      8      |     2048    |      8       |       64      |  0.86  
130|      64     |      2      |     16     |      4      |     2048    |      8       |       64      |  0.87  
131|      32     |      2      |    128     |      8      |     2048    |      8       |       64      |  0.87  
132|      64     |      1      |     32     |      4      |     2048    |      8       |       64      |  0.88  
133|      64     |      1      |     16     |      2      |     2048    |      8       |       32      |  0.89  
134|      64     |      2      |     32     |      4      |     2048    |      8       |       64      |  0.89  
135|      64     |      1      |     16     |      4      |     2048    |      8       |       32      |  0.89  
136|      64     |      2      |     16     |      2      |     2048    |      8       |       32      |  0.89  
137|      64     |      2      |     16     |      4      |     2048    |      8       |       32      |  0.89  
138|      64     |      1      |     32     |      2      |     2048    |      8       |       32      |  0.90  
139|      64     |      4      |     16     |      2      |     2048    |      8       |       32      |  0.90  
140|      64     |      1      |     32     |      4      |     2048    |      8       |       32      |  0.90  
141|      64     |      2      |     32     |      2      |     2048    |      8       |       32      |  0.90  
142|      64     |      4      |     16     |      4      |     2048    |      8       |       32      |  0.90  
143|     128     |      4      |     16     |      2      |     2048    |      8       |       64      |  0.90  
144|      64     |      2      |     32     |      4      |     2048    |      8       |       32      |  0.90  
145|     128     |      4      |     32     |      2      |     2048    |      8       |       64      |  0.91  
146|      64     |      4      |     32     |      2      |     2048    |      8       |       32      |  0.91  
147|      64     |      4      |     32     |      4      |     2048    |      8       |       32      |  0.91  
148|      16     |      4      |     64     |      2      |     2048    |      8       |       64      |  0.92  
149|      32     |      2      |     32     |      2      |     4096    |      4       |       32      |  0.93  
150|      32     |      4      |     64     |      2      |     2048    |      8       |       64      |  0.94  
151|      16     |      4      |    128     |      8      |     2048    |      8       |       64      |  0.95  
152|      16     |      1      |     64     |      2      |     2048    |      8       |       32      |  0.95  
153|      16     |      2      |     64     |      2      |     2048    |      8       |       32      |  0.95  
154|      16     |      4      |     64     |      2      |     2048    |      8       |       32      |  0.95  
155|      16     |      1      |     64     |      4      |     2048    |      8       |       32      |  0.95  
156|      16     |      2      |     64     |      4      |     2048    |      8       |       32      |  0.95  
157|      16     |      4      |     64     |      4      |     2048    |      8       |       32      |  0.96  
158|      32     |      1      |     64     |      2      |     2048    |      8       |       32      |  0.96  
159|      32     |      2      |     64     |      2      |     2048    |      8       |       32      |  0.96  
160|      32     |      4      |    128     |      8      |     2048    |      8       |       64      |  0.96  
161|      32     |      4      |     64     |      2      |     2048    |      8       |       32      |  0.96  
162|      32     |      1      |     64     |      4      |     2048    |      8       |       32      |  0.96  
163|      32     |      2      |     64     |      4      |     2048    |      8       |       32      |  0.97  
164|      32     |      4      |     64     |      4      |     2048    |      8       |       32      |  0.97  
165|      64     |      1      |     16     |      8      |     2048    |      8       |       64      |  0.98  
166|      64     |      2      |     16     |      8      |     2048    |      8       |       64      |  0.99  
167|      64     |      1      |     64     |      4      |     2048    |      8       |       64      |  0.99  
168|      64     |      2      |     64     |      4      |     2048    |      8       |       64      |  1.00  
169|      64     |      4      |     64     |      2      |     2048    |      8       |       64      |  1.00  
170|      64     |      1      |     16     |      8      |     2048    |      8       |       32      |  1.01  
171|      64     |      2      |     16     |      8      |     2048    |      8       |       32      |  1.01  
172|     128     |      1      |     16     |      2      |     2048    |      8       |       64      |  1.02  
173|      64     |      4      |     16     |      8      |     2048    |      8       |       32      |  1.02  
174|     128     |      1      |     32     |      2      |     2048    |      8       |       64      |  1.02  
175|      64     |      1      |     32     |      8      |     2048    |      8       |       64      |  1.02  
176|      64     |      4      |    128     |      8      |     2048    |      8       |       64      |  1.02  
177|      64     |      2      |     32     |      8      |     2048    |      8       |       64      |  1.03  
178|     128     |      2      |     16     |      2      |     2048    |      8       |       64      |  1.03  
179|     128     |      2      |     32     |      2      |     2048    |      8       |       64      |  1.03  
180|      64     |      1      |     32     |      8      |     2048    |      8       |       32      |  1.04  
181|      32     |      2      |     32     |      2      |     4096    |      8       |       32      |  1.05  
182|      64     |      2      |     32     |      8      |     2048    |      8       |       32      |  1.05  
183|      32     |      2      |     32     |      2      |     4096    |      16      |       32      |  1.05  
184|      64     |      4      |     32     |      8      |     2048    |      8       |       32      |  1.06  
185|     128     |      4      |     16     |      4      |     2048    |      8       |       64      |  1.06  
186|      64     |      1      |     64     |      8      |     2048    |      8       |       64      |  1.06  
187|      64     |      2      |     64     |      8      |     2048    |      8       |       64      |  1.07  
188|     128     |      4      |     32     |      4      |     2048    |      8       |       64      |  1.09  
